Code,Long code,Compound code,Smiles,ConformerSites,CanonSites,CrystalformSites,Quatassemblies,Crystalforms,[Series] Taggy McTagface
A71x0375a,A71EV2A-x0375_A_201_A71EV2A-x0528+A+147+1,Z56921372,COc1ccccc1NC(N)=S,10a - A71EV2A-x0528,11 - A201,F1i - A71_2A_open - A71EV2A-x0469/A/147/1,A1 - monomer,F1 - A71_2A_open,False
A71x0375b,A71EV2A-x0375_A_301_A71EV2A-x0528+A+147+1,Z56921372,COc1ccccc1NC(N)=S,10a - A71EV2A-x0528,11 - A201,F1i - A71_2A_open - A71EV2A-x0469/A/147/1,A1 - monomer,F1 - A71_2A_open,False
A71x0375c,A71EV2A-x0375_A_147_A71EV2A-x0395+A+148+1,Z56921372,COc1ccccc1NC(N)=S,10a - A71EV2A-x0528,11 - A201,F1i - A71_2A_open - A71EV2A-x0469/A/147/1,A1 - monomer,F1 - A71_2A_open,False
A71x0379a,A71EV2A-x0379_A_147_A71EV2A-x0379+A+147+1,Z56960214,CNCc1ccc(C(F)(F)F)cc1,10a - A71EV2A-x0528,11 - A201,F1i - A71_2A_open - A71EV2A-x0469/A/147/1,A1 - monomer,F1 - A71_2A_open,False
A71x0395a,A71EV2A-x0395_A_147_A71EV2A-x0395+A+148+1,Z57472297,CC(CO)(CO)NC(=O)Nc1ccccc1,10a - A71EV2A-x0528,11 - A201,F1i - A71_2A_open - A71EV2A-x0469/A/147/1,A1 - monomer,F1 - A71_2A_open,False
A71x0395b,A71EV2A-x0395_A_148_A71EV2A-x0395+A+148+1,Z57472297,CC(CO)(CO)NC(=O)Nc1ccccc1,10a - A71EV2A-x0528,11 - A201,F1i - A71_2A_open - A71EV2A-x0469/A/147/1,A1 - monomer,F1 - A71_2A_open,False
A71x0396a,A71EV2A-x0396_A_147_A71EV2A-x0396+A+147+1,Z57478994,COCc1nnc(N)s1,10a - A71EV2A-x0528,11 - A201,F1i - A71_2A_open - A71EV2A-x0469/A/147/1,A1 - monomer,F1 - A71_2A_open,False
A71x0412a,A71EV2A-x0412_A_147_A71EV2A-x0211+A+301+1,Z68639747,CCn1c(NC(C)=O)nc2ccccc21,10a - A71EV2A-x0528,11 - A201,F1i - A71_2A_open - A71EV2A-x0469/A/147/1,A1 - monomer,F1 - A71_2A_open,True
A71x0416a,A71EV2A-x0416_A_147_A71EV2A-x0528+A+147+1,Z71580604,Cc1ccc(NC(=O)[C@@H]2CCCO2)nc1,10a - A71EV2A-x0528,11 - A201,F1i - A71_2A_open - A71EV2A-x0469/A/147/1,A1 - monomer,F1 - A71_2A_open,False
A71x0428a,A71EV2A-x0428_A_147_A71EV2A-x0541+A+147+1,Z751811134,CN(C)S(=O)(=O)c1cccnc1,10a - A71EV2A-x0528,11 - A201,F1i - A71_2A_open - A71EV2A-x0469/A/147/1,A1 - monomer,F1 - A71_2A_open,False
A71x0432a,A71EV2A-x0432_A_147_A71EV2A-x0432+A+147+1,Z760031264,Nc1ccc(-c2ncno2)cc1,10a - A71EV2A-x0528,11 - A201,F1i - A71_2A_open - A71EV2A-x0469/A/147/1,A1 - monomer,F1 - A71_2A_open,False
A71x0446a,A71EV2A-x0446_A_147_A71EV2A-x0528+A+147+1,Z851110644,CNC(=O)c1cnc(C)s1,10a - A71EV2A-x0528,11 - A201,F1i - A71_2A_open - A71EV2A-x0469/A/147/1,A1 - monomer,F1 - A71_2A_open,False
A71x0717a,A71EV2A-x0717_A_147_A71EV2A-x0541+A+147+1,Z94597856,Cc1n[nH]c(C)c1S(=O)(=O)N(C)C,10a - A71EV2A-x0528,11 - A201,F1i - A71_2A_open - A71EV2A-x0469/A/147/1,A1 - monomer,F1 - A71_2A_open,False
A71x0719a,A71EV2A-x0719_A_301_A71EV2A-x0528+A+147+1,Z954606858,C[C@H](CS(N)(=O)=O)c1ccccc1,10a - A71EV2A-x0528,11 - A201,F1i - A71_2A_open - A71EV2A-x0469/A/147/1,A1 - monomer,F1 - A71_2A_open,False
A71x0719b,A71EV2A-x0719_A_201_A71EV2A-x0528+A+201+1,Z954606858,C[C@H](CS(N)(=O)=O)c1ccccc1,10a - A71EV2A-x0528,11 - A201,F1i - A71_2A_open - A71EV2A-x0469/A/147/1,A1 - monomer,F1 - A71_2A_open,False
A71x0732a,A71EV2A-x0732_A_201_A71EV2A-x0528+A+147+1,Z99601600,Cc1cc(C)c(NC(=O)CO)c(C)c1,10a - A71EV2A-x0528,11 - A201,F1i - A71_2A_open - A71EV2A-x0469/A/147/1,A1 - monomer,F1 - A71_2A_open,False
A71x0739a,A71EV2A-x0739_A_147_A71EV2A-x0528+A+147+1,Z17497990,Cc1ccc(OCC(=O)N2CCOCC2)c(C)c1,10a - A71EV2A-x0528,11 - A201,F1i - A71_2A_open - A71EV2A-x0469/A/147/1,A1 - monomer,F1 - A71_2A_open,False
A71x0812a,A71EV2A-x0812_A_147_A71EV2A-x0528+A+147+1,Z1618027593,Cn1nc(C(N)=O)c2ccccc21,10a - A71EV2A-x0528,11 - A201,F1i - A71_2A_open - A71EV2A-x0469/A/147/1,A1 - monomer,F1 - A71_2A_open,False
A71x0831a,A71EV2A-x0831_A_147_A71EV2A-x0395+A+148+1,Z239127534,Nc1cccc(OCc2ccccc2)c1,10a - A71EV2A-x0528,11 - A201,F1i - A71_2A_open - A71EV2A-x0469/A/147/1,A1 - monomer,F1 - A71_2A_open,False
A71x0853a,A71EV2A-x0853_A_147_A71EV2A-x0528+A+147+1,Z32367954,O=C(NC1CC1)c1ccc2c(c1)OCO2,10a - A71EV2A-x0528,11 - A201,F1i - A71_2A_open - A71EV2A-x0469/A/147/1,A1 - monomer,F1 - A71_2A_open,False
A71x0863a,A71EV2A-x0863_A_147_A71EV2A-x0528+A+201+1,Z55993012,CCN(CC)C(=O)c1ccc(N)cc1,10a - A71EV2A-x0528,11 - A201,F1i - A71_2A_open - A71EV2A-x0469/A/147/1,A1 - monomer,F1 - A71_2A_open,False
A71x1109a,A71EV2A-x1109_A_147_A71EV2A-x0395+A+148+1,Z315923746,O=C(O)c1cnc(-c2ccccc2)s1,10a - A71EV2A-x0528,11 - A201,F1i - A71_2A_open - A71EV2A-x0469/A/147/1,A1 - monomer,F1 - A71_2A_open,False
A71x0875a,A71EV2A-x0875_A_201_A71EV2A-x0528+A+147+1,Z53825020,CCS(=O)(=O)N1CCC(C(=O)O)CC1,10a - A71EV2A-x0528,11 - A201,F1i - A71_2A_open - A71EV2A-x0469/A/147/1,A1 - monomer,F1 - A71_2A_open,False
A71x0875b,A71EV2A-x0875_A_147_A71EV2A-x0395+A+148+1,Z53825020,CCS(=O)(=O)N1CCC(C(=O)O)CC1,10a - A71EV2A-x0528,11 - A201,F1i - A71_2A_open - A71EV2A-x0469/A/147/1,A1 - monomer,F1 - A71_2A_open,False
A71x0884a,A71EV2A-x0884_A_147_A71EV2A-x0528+A+147+1,Z198195770,CC(=O)Nc1cccc(NC(N)=O)c1,10a - A71EV2A-x0528,11 - A201,F1i - A71_2A_open - A71EV2A-x0469/A/147/1,A1 - monomer,F1 - A71_2A_open,False
A71x0900a,A71EV2A-x0900_A_147_A71EV2A-x0900+A+147+1,Z760031264,Nc1ccc(-c2ncno2)cc1,10a - A71EV2A-x0528,11 - A201,F1i - A71_2A_open - A71EV2A-x0469/A/147/1,A1 - monomer,F1 - A71_2A_open,False
A71x0911a,A71EV2A-x0911_A_147_A71EV2A-x0528+A+147+1,Z1457921102,CN(C(=O)[C@H]1CCNC1)c1ccccc1,10a - A71EV2A-x0528,11 - A201,F1i - A71_2A_open - A71EV2A-x0469/A/147/1,A1 - monomer,F1 - A71_2A_open,False
A71x0922a,A71EV2A-x0922_A_147_A71EV2A-x0528+A+147+1,Z19733482,Cc1ccccc1OCC(=O)N(C)C,10a - A71EV2A-x0528,11 - A201,F1i - A71_2A_open - A71EV2A-x0469/A/147/1,A1 - monomer,F1 - A71_2A_open,False
A71x1019a,A71EV2A-x1019_A_147_A71EV2A-x0528+A+147+1,NCL-00024665,COc1cc(Br)ccc1CC(=O)O,10a - A71EV2A-x0528,11 - A201,F1i - A71_2A_open - A71EV2A-x0469/A/147/1,A1 - monomer,F1 - A71_2A_open,False
A71x1068a,A71EV2A-x1068_A_201_A71EV2A-x1068+A+201+1,Z1741968196,Nc1ncccn1,10a - A71EV2A-x0528,11 - A201,F1i - A71_2A_open - A71EV2A-x0469/A/147/1,A1 - monomer,F1 - A71_2A_open,False
A71x1068b,A71EV2A-x1068_A_147_A71EV2A-x1068+A+147+1,Z1741968196,Nc1ncccn1,10a - A71EV2A-x0528,11 - A201,F1i - A71_2A_open - A71EV2A-x0469/A/147/1,A1 - monomer,F1 - A71_2A_open,False
A71x1080a,A71EV2A-x1080_A_201_A71EV2A-x0528+A+147+1,Z59181971,CCC(=O)NO,10a - A71EV2A-x0528,11 - A201,F1i - A71_2A_open - A71EV2A-x0469/A/147/1,A1 - monomer,F1 - A71_2A_open,False
A71x1081a,A71EV2A-x1081_A_201_A71EV2A-x1068+A+201+1,Z1741976468,O=C1NCCN1,10a - A71EV2A-x0528,11 - A201,F1i - A71_2A_open - A71EV2A-x0469/A/147/1,A1 - monomer,F1 - A71_2A_open,False
A71x1081b,A71EV2A-x1081_A_147_A71EV2A-x0488+A+147+1,Z1741976468,O=C1NCCN1,10a - A71EV2A-x0528,11 - A201,F1i - A71_2A_open - A71EV2A-x0469/A/147/1,A1 - monomer,F1 - A71_2A_open,False
A71x1084a,A71EV2A-x1084_A_147_A71EV2A-x0488+A+147+1,Z1415893881,NC(=O)C1(N)CC1,10a - A71EV2A-x0528,11 - A201,F1i - A71_2A_open - A71EV2A-x0469/A/147/1,A1 - monomer,F1 - A71_2A_open,False
A71x1105a,A71EV2A-x1105_A_147_A71EV2A-x0395+A+148+1,Z276142580,c1ccc(-c2ccncc2)cc1,10a - A71EV2A-x0528,11 - A201,F1i - A71_2A_open - A71EV2A-x0469/A/147/1,A1 - monomer,F1 - A71_2A_open,False
A71x1105b,A71EV2A-x1105_A_148_A71EV2A-x0395+A+148+1,Z276142580,c1ccc(-c2ccncc2)cc1,10a - A71EV2A-x0528,11 - A201,F1i - A71_2A_open - A71EV2A-x0469/A/147/1,A1 - monomer,F1 - A71_2A_open,False
A71x1128a,A71EV2A-x1128_A_147_A71EV2A-x0900+A+147+1,Z57663553,Oc1nnc(-c2ccccc2)o1,10a - A71EV2A-x0528,11 - A201,F1i - A71_2A_open - A71EV2A-x0469/A/147/1,A1 - monomer,F1 - A71_2A_open,False
A71x1140a,A71EV2A-x1140_A_147_A71EV2A-x0528+A+147+1,Z56042334,O=C(CN1CCCC1)c1ccccc1Cl,10a - A71EV2A-x0528,11 - A201,F1i - A71_2A_open - A71EV2A-x0469/A/147/1,A1 - monomer,F1 - A71_2A_open,False
A71x1145a,A71EV2A-x1145_A_201_A71EV2A-x0395+A+148+1,Z969111002,Fc1ccc(C[C@H]2CCCNC2)cc1,10a - A71EV2A-x0528,11 - A201,F1i - A71_2A_open - A71EV2A-x0469/A/147/1,A1 - monomer,F1 - A71_2A_open,False
A71x1145b,A71EV2A-x1145_A_147_A71EV2A-x0528+A+201+1,Z969111002,Fc1ccc(C[C@@H]2CCCNC2)cc1,10a - A71EV2A-x0528,11 - A201,F1i - A71_2A_open - A71EV2A-x0469/A/147/1,A1 - monomer,F1 - A71_2A_open,False
A71x1146a,A71EV2A-x1146_A_147_A71EV2A-x0528+A+201+1,Z362043378,Oc1cnc(-c2ccccc2)nc1,10a - A71EV2A-x0528,11 - A201,F1i - A71_2A_open - A71EV2A-x0469/A/147/1,A1 - monomer,F1 - A71_2A_open,False
A71x1148a,A71EV2A-x1148_A_201_A71EV2A-x0528+A+147+1,,missing,10a - A71EV2A-x0528,11 - A201,F1i - A71_2A_open - A71EV2A-x0469/A/147/1,A1 - monomer,F1 - A71_2A_open,False
A71x1148b,A71EV2A-x1148_A_147_A71EV2A-x0395+A+148+1,,missing,10a - A71EV2A-x0528,11 - A201,F1i - A71_2A_open - A71EV2A-x0469/A/147/1,A1 - monomer,F1 - A71_2A_open,False
